company,metric,year,value
Dabur,CE,FY21,7912.939999999999
Dabur,CE,FY22,8961.990000000002
Dabur,CE,FY23,10044.94
Dabur,CE,FY24,11192.25
Dabur,CE,FY25,11913.84
Dabur,GM,FY19,0.49713525644406154
Dabur,GM,FY20,0.5012069732145011
Dabur,GM,FY21,0.5007232015394832
Dabur,GM,FY22,0.4820593497099741
Dabur,GM,FY23,0.4563113785127178
Dabur,GM,FY24,0.4802519507804332
Dabur,GM,FY25,0.47983656886960135
Dabur,EM,FY19,0.20397396007289306
Dabur,EM,FY20,0.20593111578095935
Dabur,EM,FY21,0.20934357563809594
Dabur,EM,FY22,0.20682121248856608
Dabur,EM,FY23,0.18755512845309016
Dabur,EM,FY24,0.19346324293514758
Dabur,EM,FY25,0.18442039339047955
Dabur,NM,FY19,0.1690286591546985
Dabur,NM,FY20,0.1660188496930577
Dabur,NM,FY21,0.17709286577107508
Dabur,NM,FY22,0.15972734987160978
Dabur,NM,FY23,0.14806299106062593
Dabur,NM,FY24,0.14855518497647133
Dabur,NM,FY25,0.14070025765954078
Dabur,DIO,FY20,112.66656915340832
Dabur,DIO,FY21,119.03819405895797
Dabur,DIO,FY22,117.97299585615521
Dabur,DIO,FY23,114.5763814333822
Dabur,DIO,FY24,112.41554546639038
Dabur,DIO,FY25,118.60883018151881
Dabur,DSO,FY20,34.54432308966759
Dabur,DSO,FY21,26.253133611876613
Dabur,DSO,FY22,20.2421895950657
Dabur,DSO,FY23,23.66191264617442
Dabur,DSO,FY24,25.710498056676833
Dabur,DSO,FY25,25.962374702402034
Dabur,DPO,FY20,123.49056386465774
Dabur,DPO,FY21,129.8783020626698
Dabur,DPO,FY22,127.2784186719483
Dabur,DPO,FY23,122.40749632697208
Dabur,DPO,FY24,130.45193393475375
Dabur,DPO,FY25,146.5351400029993
Dabur,CCC,FY20,23.72032837841816
Dabur,CCC,FY21,15.413025608164787
Dabur,CCC,FY22,10.936766779272617
Dabur,CCC,FY23,15.830797752584544
Dabur,CCC,FY24,7.674109588313456
Dabur,CCC,FY25,-1.9639351190784566
Dabur,ROCE,FY20,0.24819720742812124
Dabur,ROCE,FY21,0.23799657773691538
Dabur,ROCE,FY22,0.2369337235769274
Dabur,ROCE,FY23,0.19482683421257402
Dabur,ROCE,FY24,0.18839686418024226
Dabur,ROCE,FY25,0.16197374804651068
Dabur,ROA,FY20,0.1624403830101767
Dabur,ROA,FY21,0.16764400424926515
Dabur,ROA,FY22,0.15037571882000686
Dabur,ROA,FY23,0.13162855788024935
Dabur,ROA,FY24,0.12806594143597066
Dabur,ROA,FY25,0.11274962557758009
Dabur,RG,FY20,0.019985819841674534
Dabur,RG,FY21,0.09858690494382197
Dabur,RG,FY22,0.1387867156819169
Dabur,RG,FY23,0.05888776233666515
Dabur,RG,FY24,0.07581338590394192
Dabur,RG,FY25,0.012824884855784535
Dabur,raw_rev,FY19,8533.05
Dabur,raw_rev,FY20,8703.59
Dabur,raw_rev,FY21,9561.65
Dabur,raw_rev,FY22,10888.68
Dabur,raw_rev,FY23,11529.89
Dabur,raw_rev,FY24,12404.01
Dabur,raw_rev,FY25,12563.09
Dabur,raw_oi,FY19,296.17
Dabur,raw_oi,FY20,305.29
Dabur,raw_oi,FY21,325.29
Dabur,raw_oi,FY22,393.16
Dabur,raw_oi,FY23,445.39
Dabur,raw_oi,FY24,482.41
Dabur,raw_oi,FY25,550.1
Dabur,raw_com,FY19,3475.35
Dabur,raw_com,FY20,3731.71
Dabur,raw_com,FY21,3998.58
Dabur,raw_com,FY22,4766.12
Dabur,raw_com,FY23,5306.97
Dabur,raw_com,FY24,5186.9
Dabur,raw_com,FY25,5263.68
Dabur,raw_psit,FY19,802.98
